date,year,city,index_hwmid,index_tn10p,index_tn90p,index_tx10p,index_tx90p,tmstmp
1971-01-01,1971,Athens,0,15.3424654006958,3.28767132759094,13.2876715660095,4.52054786682129,31536e6
1971-01-01,1971,Berlin,0,18.904109954834,10.6849317550659,14.7945203781128,9.04109573364258,31536e6
1971-01-01,1971,Brussels,0,15.8904113769531,9.58904075622559,13.9726028442383,7.6712327003479,31536e6
1971-01-01,1971,Budapest,0,17.808219909668,3.01369857788086,16.5753421783447,5.06849312782288,31536e6
1971-01-01,1971,Lisbon,0,14.2465753555298,6.57534265518188,13.1506853103638,3.83561635017395,31536e6
1971-01-01,1971,London,0,13.1506853103638,10.4109592437744,13.9726028442383,7.26027393341064,31536e6
1971-01-01,1971,Madrid,0,14.2465753555298,7.6712327003479,12.0547943115234,6.30136966705322,31536e6
1971-01-01,1971,Paris,0,13.6986303329468,9.31506824493408,14.9315066337585,7.94520568847656,31536e6
1971-01-01,1971,Roma,0.996657222509384,14.2465753555298,5.20547962188721,12.3287668228149,6.57534265518188,31536e6
1971-01-01,1971,Warsaw,0.00649431557394564,15.6164379119873,8.76712322235107,14.7945203781128,10.1369867324829,31536e6
1972-01-01,1972,Athens,0.127608090639114,9.58904075622559,3.28767132759094,10.9589042663574,4.52054786682129,63072e6
1972-01-01,1972,Berlin,0,16.1643829345703,10.6849317550659,15.0684928894043,9.04109573364258,63072e6
1972-01-01,1972,Brussels,0,21.643835067749,9.58904075622559,18.904109954834,7.6712327003479,63072e6
1972-01-01,1972,Budapest,0,12.6027393341064,3.01369857788086,13.1506853103638,5.06849312782288,63072e6
1972-01-01,1972,Lisbon,1.45270872116089,24.9315071105957,6.57534265518188,15.8904113769531,3.83561635017395,63072e6
1972-01-01,1972,London,0,18.0821914672852,10.4109592437744,17.260274887085,7.26027393341064,63072e6
1972-01-01,1972,Madrid,0.428370729088783,18.356164932251,7.6712327003479,14.2465753555298,6.30136966705322,63072e6
1972-01-01,1972,Paris,0,23.0136985778809,9.31506824493408,20.8219184875488,7.94520568847656,63072e6
1972-01-01,1972,Roma,0.660941749811172,15.20547914505,5.20547962188721,14.2465753555298,6.57534265518188,63072e6
1972-01-01,1972,Warsaw,0,13.6986303329468,8.76712322235107,9.86301326751709,10.1369867324829,63072e6
1973-01-01,1973,Athens,0.90384915471077,12.4657530784607,10.1369867324829,9.04109573364258,8.76712322235107,946944e5
1973-01-01,1973,Berlin,3.12197351455688,12.6027393341064,5.47945213317871,11.2328767776489,5.75342464447021,946944e5
1973-01-01,1973,Brussels,0,11.5068492889404,6.57534265518188,12.0547943115234,7.94520568847656,946944e5
1973-01-01,1973,Budapest,4.95867919921875,11.5068492889404,4.65753412246704,9.86301326751709,6.02739715576172,946944e5
1973-01-01,1973,Lisbon,0,20,5.47945213317871,20,7.12328767776489,946944e5
1973-01-01,1973,London,0,13.1506853103638,4.10958909988403,12.0547943115234,7.3972601890564,946944e5
1973-01-01,1973,Madrid,6.3690938949585,16.8493146896362,4.10958909988403,17.5342464447021,3.56164383888245,946944e5
1973-01-01,1973,Paris,0.304265633225441,12.3287668228149,5.20547962188721,11.5068492889404,7.6712327003479,946944e5
1973-01-01,1973,Roma,17.5999174118042,12.7397260665894,4.10958909988403,8.49315071105957,6.84931516647339,946944e5
1973-01-01,1973,Warsaw,1.50811076164246,12.6027393341064,4.79452037811279,12.8767127990723,5.75342464447021,946944e5
1974-01-01,1974,Athens,0,10.9589042663574,6.71232891082764,10.9589042663574,7.12328767776489,1262304e5
1974-01-01,1974,Berlin,0.261825770139694,24.9315071105957,8.76712322235107,24.1095886230469,9.58904075622559,1262304e5
1974-01-01,1974,Brussels,1.14476490020752,21.643835067749,4.93150663375854,27.6712322235107,4.38356161117554,1262304e5
1974-01-01,1974,Budapest,0.756064891815186,19.1780815124512,9.31506824493408,17.260274887085,12.6027393341064,1262304e5
1974-01-01,1974,Lisbon,1.92651700973511,16.5753421783447,2.73972606658936,17.260274887085,3.42465758323669,1262304e5
1974-01-01,1974,London,0.699235767126083,23.2876720428467,4.65753412246704,29.3150691986084,4.65753412246704,1262304e5
1974-01-01,1974,Madrid,1.3455246090889,14.5205478668213,4.10958909988403,17.5342464447021,4.38356161117554,1262304e5
1974-01-01,1974,Paris,0.549306094646454,21.095890045166,3.83561635017395,26.8493156433105,4.10958909988403,1262304e5
1974-01-01,1974,Roma,1.14546525478363,19.1780815124512,6.84931516647339,18.2191781997681,7.3972601890564,1262304e5
1974-01-01,1974,Warsaw,0,19.452054977417,7.3972601890564,22.191780090332,9.04109573364258,1262304e5
1975-01-01,1975,Athens,0.0724175423383713,15.0684928894043,6.43835616111755,16.1643829345703,5.20547962188721,1577664e5
1975-01-01,1975,Berlin,0,18.6301364898682,2.19178080558777,14.7945203781128,4.10958909988403,1577664e5
1975-01-01,1975,Brussels,0,14.5205478668213,4.10958909988403,12.0547943115234,4.10958909988403,1577664e5
1975-01-01,1975,Budapest,0,16.4383563995361,5.75342464447021,14.7945203781128,6.57534265518188,1577664e5
1975-01-01,1975,Lisbon,0.158666908740997,15.6164379119873,4.93150663375854,13.9726028442383,11.2328767776489,1577664e5
1975-01-01,1975,London,0,12.3287668228149,3.56164383888245,13.9726028442383,4.10958909988403,1577664e5
1975-01-01,1975,Madrid,0,14.9315066337585,7.3972601890564,15.8904113769531,8.49315071105957,1577664e5
1975-01-01,1975,Paris,0.329546600580215,11.2328767776489,4.38356161117554,11.7808218002319,3.83561635017395,1577664e5
