decade,date,year,city,index_hwmid,index_tn10p,index_tn90p,index_tx10p,index_tx90p,tmstmp
2021-2030,2021-01-01,2021,London,3.41697129756212,5.42465751171112,15.8219179153442,5.08219175338745,15.3150683879852,16094592e5
2021-2030,2021-01-01,2021,Madrid,7.60543508566916,4.95890403985977,20.3013698577881,5.31506841182709,17.0821918964386,16094592e5
2021-2030,2021-01-01,2021,Paris,3.46116143614054,5.06849311590195,17.2054793357849,5.91780822277069,14.4383559703827,16094592e5
2021-2030,2021-01-01,2021,Roma,9.06181690692902,5.30136981010437,19.4383563041687,5.68493148088455,17.9999998569489,16094592e5
2021-2030,2021-01-01,2021,Warsaw,3.41697129756212,5.42465751171112,15.8219179153442,5.08219175338745,15.3150683879852,16094592e5
2031-2040,2031-01-01,2031,Athens,3.24626858010888,4.2465753316879304,25.0958903312683,5.36986300945282,17.890410900116,1924992e6
2031-2040,2031-01-01,2031,Berlin,0.906670925579965,4.10958904027939,18.4657534599304,6.24657528400421,16.8767124176025,1924992e6
2031-2040,2031-01-01,2031,Brussels,2.46067265868187,3.97260272502899,17.9178081512451,4.32876707315445,16.0547945976257,1924992e6
2031-2040,2031-01-01,2031,Budapest,2.64255786743015,4.54794524908066,21.0821919441223,5.09589043855667,16.12328748703,1924992e6
2031-2040,2031-01-01,2031,Lisbon,4.4120725274086,3.43835617303848,16.8767122745514,4.58904108405113,17.1095890522003,1924992e6
2031-2040,2031-01-01,2031,London,1.91032695174217,3.42465759664774,18.1917806625366,3.42465750575066,16.8767123222351,1924992e6
2031-2040,2031-01-01,2031,Madrid,9.15047996044159,3.84931507110596,21.1917806625366,4.12328764200211,19.1643835067749,1924992e6
2031-2040,2031-01-01,2031,Paris,2.75073343664408,4.05479451417923,17.8356163978577,4.91780813932419,16.1095889091492,1924992e6
2031-2040,2031-01-01,2031,Roma,9.20921494364739,4.27397258281708,19.2876710414886,5.21917806863785,17.8219179153442,1924992e6
2031-2040,2031-01-01,2031,Warsaw,1.91032695174217,3.42465759664774,18.1917806625366,3.42465750575066,16.8767123222351,1924992e6
2041-2050,2041-01-01,2041,Athens,3.01710672415793,2.43835615515709,31.9863014221191,3.98630135059357,23.7123290538788,22406112e5
2041-2050,2041-01-01,2041,Berlin,1.16688449718058,4.38356159925461,17.3972603797913,6.10958905220032,13.5616435527802,22406112e5
2041-2050,2041-01-01,2041,Brussels,3.82109005749226,4.8493150472641,18.6849312782288,5.67123291492462,16.2739727020264,22406112e5
2041-2050,2041-01-01,2041,Budapest,5.64418390095234,4.1232876598835,21.7945207595825,5.05479447841644,17.6438355445862,22406112e5
2041-2050,2041-01-01,2041,Lisbon,4.95864655971527,3.71232876181602,23.5890411376953,4.5479451417923,20.3698632240295,22406112e5
2041-2050,2041-01-01,2041,London,3.37038726694882,3.78082185983658,19.3287671089172,3.97260270118713,19.0136985778809,22406112e5
2041-2050,2041-01-01,2041,Madrid,10.6672225892544,4.28767119646072,27.150684928894,5.0958903670311,22.8630138397217,22406112e5
2041-2050,2041-01-01,2041,Paris,6.41344934981316,4.80821919441223,19.5205481529236,5.36986302137375,17.4246573925018,22406112e5
2041-2050,2041-01-01,2041,Roma,9.44861356019974,4.02739719152451,20.4383562088013,5.82191777229309,17.6986302852631,22406112e5
2041-2050,2041-01-01,2041,Warsaw,3.37038726694882,3.78082185983658,19.3287671089172,3.97260270118713,19.0136985778809,22406112e5
2051-2060,2051-01-01,2051,Athens,2.60631075501442,2.94520545005798,35.3835618972778,3.99999997615814,25.1780825614929,2556144e6
2051-2060,2051-01-01,2051,Berlin,2.83492152690887,4.38356162309647,22.9589036941528,5.80821914672852,19.2876711845398,2556144e6
2051-2060,2051-01-01,2051,Brussels,3.63535541146994,3.53424653708935,22.6301368713379,5.17808220982552,18.8493152618408,2556144e6
2051-2060,2051-01-01,2051,Budapest,3.68173920586705,4.67123285531998,25.2739725589752,6.42465748786926,20.2191780090332,2556144e6
2051-2060,2051-01-01,2051,Lisbon,4.97411215007305,2.19178083240986,22.7397260665894,3.15068490505219,22.0958904743195,2556144e6
2051-2060,2051-01-01,2051,London,3.94609988182783,3.01369860768318,21.8904110908508,3.76712327599525,21.3013698577881,2556144e6
2051-2060,2051-01-01,2051,Madrid,9.11644282341003,2.69863010942936,28.8082194328308,3.42465752363205,25.4794522285461,2556144e6
2051-2060,2051-01-01,2051,Paris,2.92571554034948,3.47945203483105,22.068493270874,4.93150683641434,19.3150686264038,2556144e6
2051-2060,2051-01-01,2051,Roma,6.46505629047751,3.1917807996273,24.7671233177185,4.89041088819504,22.0410960197449,2556144e6
2051-2060,2051-01-01,2051,Warsaw,3.94609988182783,3.01369860768318,21.8904110908508,3.76712327599525,21.3013698577881,2556144e6
2061-2070,2061-01-01,2061,Athens,3.27418366670609,1.8082191824913,45.643835067749,2.69863014221191,29.2465755462646,28717632e5
2061-2070,2061-01-01,2061,Berlin,2.2448657810688,2.630136936903,23.2876712799072,4.27397256493568,16.9315069198608,28717632e5
2061-2070,2061-01-01,2061,Brussels,3.18117058724165,2.73972604870796,24.6849311828613,3.91780828237534,18.7671234130859,28717632e5
2061-2070,2061-01-01,2061,Budapest,3.75117592215538,2.78082195818424,28.6712331771851,4.80821914076805,20.7808220863342,28717632e5
2061-2070,2061-01-01,2061,Lisbon,4.1029783681035,1.08219178617001,30.7397262573242,1.83561641871929,26.6301370620728,28717632e5
2061-2070,2061-01-01,2061,London,3.16074576377869,2.27397258877754,25.8904109954834,2.87671232223511,21.6712329864502,28717632e5
2061-2070,2061-01-01,2061,Madrid,14.1734457492828,1.31506848931313,36.6986299514771,2.16438353359699,33.1095886230469,28717632e5
2061-2070,2061-01-01,2061,Paris,3.83413402214646,2.65753421187401,25.150684928894,3.53424655199051,18.8493152618408,28717632e5
2061-2070,2061-01-01,2061,Roma,11.0967271208763,2.58904110193253,31.1780819892883,3.5205479323864,26.7534248352051,28717632e5
2061-2070,2061-01-01,2061,Warsaw,3.16074576377869,2.27397258877754,25.8904109954834,2.87671232223511,21.6712329864502,28717632e5
2071-2080,2071-01-01,2071,Athens,4.33235431909561,1.12328765392303,54.4109596252441,1.49315069913864,35.6849314689636,3187296e6
2071-2080,2071-01-01,2071,Berlin,2.63310370445251,0.904109591245651,36.1369857788086,1.97260272800922,26.7397264480591,3187296e6
2071-2080,2071-01-01,2071,Brussels,6.85762479305267,1.50684929192066,34.6575338363647,1.91780821681023,25.9452056884766,3187296e6
2071-2080,2071-01-01,2071,Budapest,6.00508323758841,0.698630145192146,40.0273975372314,1.86301371455193,28.945205783844,3187296e6
